turn,algorithm,hits,originDatabase,originAlgorithm,minTile,maxTile,minBoardValue,maxBoardValue,sumBoardValue,minBoardScore,maxBoardScore,sumBoardScore
24,treeDb_first,50530,30453,20077,2,32,48,96,2887230,96,192,7100380
24,treeDb_firstlastmaxtile,50518,33205,17313,2,32,48,96,2887032,96,180,7144188
24,treeDb_firstlastprogress,48649,29059,19590,2,32,48,96,2777298,96,176,6672552
24,treeDb_followMaxTile,50486,33403,17083,2,32,48,96,2885846,96,188,7144424
24,treeDb_followProgress,48659,28965,19694,2,32,48,96,2777902,96,180,6670132
24,treeDb_last,50520,30606,19914,2,32,48,96,2887576,96,180,7100788
25,all,295740,180780,114960,2,32,50,100,17543440,100,228,43811704
25,treeDb_first,50059,29660,20399,2,32,50,100,2969654,100,228,7460096
25,treeDb_firstlastmaxtile,50048,32668,17380,2,32,50,100,2969634,100,196,7495100
25,treeDb_firstlastprogress,47748,28081,19667,2,32,50,100,2830378,100,192,6948612
25,treeDb_followMaxTile,50012,32595,17417,2,32,50,100,2968388,100,196,7493572
25,treeDb_followProgress,47821,28066,19755,2,32,50,100,2835034,100,196,6955432
25,treeDb_last,50052,29710,20342,2,32,50,100,2970352,100,196,7458892
26,all,291447,172919,118528,2,32,52,104,17925344,108,232,45497348
26,treeDb_first,49464,28452,21012,2,32,52,104,3042464,108,228,7758704
26,treeDb_firstlastmaxtile,49462,31377,18085,2,32,52,104,3043064,108,224,7792088
26,treeDb_firstlastprogress,46774,26713,20061,2,32,52,104,2874762,108,200,7195856
26,treeDb_followMaxTile,49405,31232,18173,2,32,52,104,3040150,108,228,7787432
26,treeDb_followProgress,46847,26796,20051,2,32,52,104,2879510,108,228,7197576
26,treeDb_last,49495,28349,21146,2,32,52,104,3045394,108,232,7765692
27,all,286529,165446,121083,2,32,54,108,18249724,112,236,46920004
27,treeDb_first,48720,27101,21619,2,32,54,108,3103382,112,236,8007488
27,treeDb_firstlastmaxtile,48776,30090,18686,2,32,54,108,3107606,112,232,8046976
27,treeDb_firstlastprogress,45767,25461,20306,2,32,54,108,2912838,112,232,7407088
27,treeDb_followMaxTile,48716,30188,18528,2,32,54,108,3104346,112,236,8037356
27,treeDb_followProgress,45782,25393,20389,2,32,54,108,2913942,112,236,7403788
27,treeDb_last,48768,27213,21555,2,32,54,108,3107610,112,232,8017308
28,all,281121,158376,122745,2,64,56,112,18521880,120,300,48160980
28,treeDb_first,47943,26129,21814,2,64,56,112,3159482,120,300,8233944
28,treeDb_firstlastmaxtile,47969,29169,18800,2,64,56,112,3161294,120,296,8261952
28,treeDb_firstlastprogress,44652,24037,20615,2,64,56,112,2939496,120,292,7580448
28,treeDb_followMaxTile,47907,28857,19050,2,64,56,112,3157956,120,300,8256204
28,treeDb_followProgress,44685,24072,20613,2,32,56,112,2941772,120,236,7582736
28,treeDb_last,47965,26112,21853,2,64,56,112,3161880,120,300,8245696
29,all,275688,148701,126987,2,64,58,116,18768298,124,308,49317224
29,treeDb_first,47170,24520,22650,2,64,58,116,3211962,124,308,8452820
29,treeDb_firstlastmaxtile,47186,27499,19687,2,64,58,116,3213230,124,308,8472088
29,treeDb_firstlastprogress,43465,22353,21112,2,64,58,116,2956346,124,304,7721980
29,treeDb_followMaxTile,47127,27607,19520,2,64,58,116,3209894,124,304,8466368
29,treeDb_followProgress,43533,22180,21353,2,64,58,116,2961324,124,304,7734536
29,treeDb_last,47207,24542,22665,2,64,58,116,3215542,124,308,8469432
30,all,270196,138641,131555,2,64,60,120,18985264,132,312,50365592
30,treeDb_first,46433,23180,23253,2,64,60,120,3263370,132,312,8671728
30,treeDb_firstlastmaxtile,46343,25826,20517,2,64,60,120,3257138,132,312,8663496
30,treeDb_firstlastprogress,42283,20458,21825,2,64,60,120,2968336,132,308,7834920
30,treeDb_followMaxTile,46400,26027,20373,2,64,60,120,3261776,132,312,8678596
30,treeDb_followProgress,42309,20309,22000,2,64,60,120,2970330,132,308,7839212
30,treeDb_last,46428,22841,23587,2,64,60,120,3264314,132,312,8677640
31,all,264456,129444,135012,2,64,62,124,19158568,144,320,51299008
31,treeDb_first,45650,21505,24145,2,64,62,124,3308086,144,316,8874348
31,treeDb_firstlastmaxtile,45466,24332,21134,2,64,62,124,3294910,144,320,8848368
31,treeDb_firstlastprogress,41124,18803,22321,2,64,62,124,2976572,144,316,7926592
31,treeDb_followMaxTile,45523,24526,20997,2,64,62,124,3299408,144,316,8865952
31,treeDb_followProgress,41037,18743,22294,2,64,62,124,2969802,144,316,7905728
31,treeDb_last,45656,21535,24121,2,64,62,124,3309790,144,316,8878020
32,all,257824,122274,135550,2,64,64,128,19238564,152,336,52054200
32,treeDb_first,44727,20640,24087,2,64,64,128,3338930,152,336,9048188
32,treeDb_firstlastmaxtile,44489,23052,21437,2,64,64,128,3321110,152,336,9016204
32,treeDb_firstlastprogress,39689,17550,22139,2,64,64,128,2958376,152,320,7956996
32,treeDb_followMaxTile,44502,23190,21312,2,64,64,128,3322282,152,320,9027472
32,treeDb_followProgress,39642,17329,22313,2,64,64,128,2954218,152,332,7943392
32,treeDb_last,44775,20513,24262,2,64,64,128,3343648,152,336,9061948
33,all,250391,114598,135793,2,64,66,132,19227012,156,340,52738556
33,treeDb_first,43727,19171,24556,2,64,66,132,3359510,156,336,9223368
33,treeDb_firstlastmaxtile,43383,21950,21433,2,64,66,132,3333020,156,340,9182400
33,treeDb_firstlastprogress,38163,16035,22128,2,64,66,132,2926802,156,336,7975840
33,treeDb_followMaxTile,43417,22053,21364,2,64,66,132,3335988,156,340,9194872
33,treeDb_followProgress,37929,15947,21982,2,64,66,132,2907960,156,336,7925500
33,treeDb_last,43772,19442,24330,2,64,66,132,3363732,156,336,9236576
34,all,242167,108168,133999,2,64,68,136,19122256,164,344,53427968
34,treeDb_first,42599,18292,24307,2,64,68,136,3365826,164,340,9400624
